proposition,dominant_topic,topic_name,clean
Il faut que les prix des produits de consommation soient en cohérence avec le pouvoir d'achat de la majorité de la population ,7,Circuit court,prix consommation cohérence achat majorité population
"Il faut réduire sa consommation de viande, qui impacte l'écosystème",0,Consommation Viande,réduire consommation viande impacte écosystème
Il faut des fruits et des légumes équitables français,7,Circuit court,fruit légume équitable français
Il faut abaisser la TVA à 5.5% sur les produits bio pour les rendre plus accessibles. ,9,Rémunération des agriculteurs,abaisser tva bio rendre accessible
"Il faut que le bio devienne la norme, et mentionner sur les autres produits ""avec ajouts de produits chimiques""",1,Agriculture biologique,bio devienne norme mentionner ajout chimique
Il faut afficher clairement l'impact environnemental de nos produits,2,Produits transformés,afficher clairement impact environnemental
"Il faut imposer aux compagnies de citer en gros sur les paquets quelles sont les matières nocives de leurs produits (ex: ""contient du ..."")",2,Produits transformés,imposer compagnie citer gros paquet matière nocif ex contenir
"Il faut organiser des sorties scolaires à la rencontre des agriculteurs, producteurs et artisans locaux",7,Circuit court,organiser sortie scolaire rencontre agriculteur producteur artisan local
Il faut éliminer les provenances venant d'industriels ne respectant pas le temps de travail de l'homme,4,Habitude de consommation alimentaire,éliminer provenance venir industriel respecter temps travail homme
Il faut favoriser l'installation de paysans sur de petites ou moyennes surfaces favorables à la biodynamique et à la biodiversité,3,Cultiver soi-même,favoriser installation paysan petit moyen surface favorable biodynamique biodiversité
Il faut de la viande de porc au repas ,0,Consommation Viande,viande porc repas
"Il faut pouvoir donner accès à tous, en collectivité, aux produits sous signes officiels de qualité (Label Rouge, bio, IGP)",5,Gaspillage alimentaire,donner accès collectivité signe officiel qualité label rouge bio igp
"Il faut arrêter d'acheter en supermarché, tout simplement.",4,Habitude de consommation alimentaire,arrêter acheter supermarché simplement
Il faut que les parents apprennent à leurs enfants qu'il faut manger la quantité de repas qu'ils ont demandé à la maison ou à la cantine,8,Alimentation des enfants,parent apprendre enfant manger quantité repas demander maison cantine
Il faut manger végétarien,8,Alimentation des enfants,manger végétarien
Il faut de bons produits locaux accessibles à chacun,7,Circuit court,local accessible
"Il faut que les produits ""sains"" soient moins chers, et non l'inverse. Par exemple le Nutella moins cher que les fruits ?!",4,Habitude de consommation alimentaire,sain inverse exemple nutella fruit
"Il faut supprimer tous les intermédiaires, et acheter régional en circuit court",7,Circuit court,supprimer intermédiaire acheter régional circuit court
Il faut que les magasins de grande distribution ne commandent plus à l'étranger qui n'ont pas les mêmes lois que les français sur le bio,7,Circuit court,magasin grand distribution commander étranger loi français bio
Il faut permettre financièrement à chacun de pouvoir s'alimenter suffisamment et sainement,7,Circuit court,permettre financièrement alimenter suffisamment sainement
"Il faut apprendre aux enfants à mieux connaître la croissance des fruits, légumes et céréales",4,Habitude de consommation alimentaire,apprendre enfant mieux connaître croissance fruit légume céréale
Il faut arrêter les aides de l'Europe aux plus riches agriculteurs,1,Agriculture biologique,arrêter aide europe richer agriculteur
"Il faut proposer dans les écoles autant de plats végétariens que de plats contenants de la viande, et ceci (au minimum) dès le collège",4,Habitude de consommation alimentaire,proposer école autant plat végétarien plat contenant viande minimum collège
"Il faut interdire absolument l'ajout de sucre dans conserves, potages etc...",2,Produits transformés,interdire absolument ajout sucre conserve potage
"Il faut créer / encourager des mesures incitatives en faveur de l'agriculture locale, biologique, l'agroforesterie, l'agrobiologie",3,Cultiver soi-même,créer encourager mesure incitatif faveur agriculture local biologique agroforesterie agrobiologie
Il faut expliquer comment conjuguer alimentation plaisir (immédiat) et alimentation bonheur (durable).,8,Alimentation des enfants,expliquer conjuguer alimentation plaisir immédiat alimentation bonheur durable
"Il faut apprendre aux plus jeunes à cultiver, récolter et cuisiner. Ils respecteront plus la nature et pourront influencer leurs parents",8,Alimentation des enfants,apprendre jeune cultiver récolter cuisiner respecter nature influencer parent
"Il faut avoir de l'argent, pour pouvoir manger",4,Habitude de consommation alimentaire,argent manger
Il faut faire en sorte que tout produit qui n'est pas transformé soit le moins cher et le plus visible possible,2,Produits transformés,sorte transformer visible possible
"Il faut , pour une alimentation saine/bio, re-autoriser pesticides/insecticides NATURELS/bio (purin d’ortie, ... ) les valoriser & divulger",0,Consommation Viande,alimentation sainebio reautoriser pesticidesinsecticider naturelsbio purin dorti valoriser divulger
"Il faut que les hypers et supers arrêtent la guerre des prix et proposent des produits responsables, locaux, de saison et à un prix juste",7,Circuit court,hyper super arrêter guerre prix proposer responsable local saison prix
Il faut généraliser le nutriscore,2,Produits transformés,généraliser nutriscore
Il faut insister sur la formation à la nutrition. La connaissance sur les nutriments essentiels et surtout leur quantité : moins de sucre !,8,Alimentation des enfants,insister formation nutrition connaissance nutriment essentiel quantité sucre
"Il faut diminuer la publicité, qui prend de plus en plus de place dans nos soirées, en nous incitant à consommer sans discernement.",0,Consommation Viande,diminuer publicité prendre place soirée inciter consommer discernement
Il faut manger des produits peu transformés et frais,4,Habitude de consommation alimentaire,manger transformer frais
Il faut consommer des produits locaux et sains pour soutenir l'agriculture paysanne et fermière et les producteurs de proximité,7,Circuit court,consommer local sain soutenir agriculture paysan fermier producteur proximité
Il faut privilégier le circuit court et la production française,7,Circuit court,privilégier circuit court production français
"Il faut prendre du temps pour préparer ses repas, ne jamais acheter du tout fait.",4,Habitude de consommation alimentaire,prendre temps préparer repas jamais acheter
Il faut manger local et manger des produits de saison,4,Habitude de consommation alimentaire,manger local manger saison
"Il faut sortir de l’Europe qui permet tous les excès en autorisant des importations de pays qui se ""foutent"" de la santé publique",1,Agriculture biologique,sortir leurope permettre excès autoriser importation pays foutre santé public
"Il faut  payer les produits au juste prix aux producteurs, moins de marge marchande",7,Circuit court,payer prix producteur marge marchand
Il faut que les boucheries vendent des colis de viande pour le mois pour les familles défavorisées,7,Circuit court,boucherie vendre colis viande mois famille défavoriser
Il faut rendre illégale (vote loi) toute maltraitance animal et appliquer cette loi avec sévérité pour mettre fin au calvaire des animaux.,1,Agriculture biologique,rendre illégal vote loi maltraitance animal appliquer loi sévérité mettre fin calvaire animal
"Il faut communiquer sur la meilleure manière de répondre aux besoins alimentaires de populations spécifiques (personnes âgées, enfants...)",8,Alimentation des enfants,communiquer meilleur manière répondre besoin alimentaire population spécifique âgé enfant
Il faut arrêter la surproduction alimentaire et aider les pays en voie de développement à développer leur propre suffisance alimentaire,1,Agriculture biologique,arrêter surproduction alimentaire aider pays développement développer propre suffisance alimentaire
Il faut plus de vrac pour les légumes et fruits et des consignes pour les bouteilles ou canettes,6,Emballage alimentaire,vrac légume fruit consigne bouteille canette
"Il faut circuits courts produits gouteux; locaux et nationaux éviter imports (pollutions), faire  VIVRE nos producteurs notre SANTÉ ",7,Circuit court,circuit court gouteux local national éviter pollution vivre producteur santé
"Il faut éviter, dans la mesure du possible, de manger des plats tout préparés par l'industrie agro-alimentaire  ",4,Habitude de consommation alimentaire,éviter mesure possible manger plat préparer industrie agroalimentaire
Il faut mieux manger de bonne qualité en petite quantité plutôt que de manger de mauvaise qualité en grande quantité,4,Habitude de consommation alimentaire,mieux manger qualité petit quantité manger mauvais qualité grand quantité
Il faut arrêter de taxer lourdement les produits bio et aider les agriculteurs bio,1,Agriculture biologique,arrêter taxer bio aider agriculteur bio
Il faut reapprendre aux enfants à cuisiner ; cours de cuisine a l'école,8,Alimentation des enfants,reapprendre al enfant cuisiner cours cuisine école
Il faut éviter que les pays en développement passent par la phase d'agriculture intensive dont les pays développés ne parviennent à sortir,1,Agriculture biologique,éviter pays développement passer phase agriculture intensif pays développé parvenir sortir
Il faut boycotter les produits hors saison et les produits qui existent chez nous et qui sont malheureusement importés ! ,1,Agriculture biologique,boycotter saison exister malheureusement importer
"Il faut valoriser les systèmes de collecte et de dons de denrées périssables saines pour les personnes à faible revenu, les associations ",5,Gaspillage alimentaire,valoriser système collecte don denrée périssable sain faible revenir association
Il faut developper une vraie filière sans gluten,9,Rémunération des agriculteurs,vrai filière gluten
"Il faut que tout soit abordable pour tout le monde : fruits, légumes et viandes",7,Circuit court,abordable monde fruit légume viande
"Il faut avoir des ""éducateurs"" dans les supermarchés, pour aider les consommateurs dans leurs choix.",5,Gaspillage alimentaire,éducateur supermarché aider consommateur choix
Il faut revoir le système des supermarchés qui font beaucoup trop d'offres et pas vraiment de la qualité. Il y a trop de gaspillage,5,Gaspillage alimentaire,revoir système supermarché offre vraiment qualité gaspillage
"Il faut manger local, cuisiner soi même et ne plus manger de viande ni de poisson, c'est ce que je fais.",4,Habitude de consommation alimentaire,manger local cuisiner manger viande poisson
Il faut supprimer la TVA sur les produits bio,9,Rémunération des agriculteurs,supprimer tva bio
Il faut un label  bien être et respect animal ,0,Consommation Viande,label respect animal
Il faut une alternative végétarienne dans toutes les cantines scolaires.,8,Alimentation des enfants,alternative végétarien cantine scolaire
Il faut manger moins en mangeant mieux : apprendre à connaître ses besoins réels en fonction de chacun. ,4,Habitude de consommation alimentaire,manger manger mieux apprendre connaître besoin réel fonction
Il faut proposer deux plats dans les cantines scolaires,8,Alimentation des enfants,proposer plat cantine scolaire
Il faut manger moins et mieux : lentement,4,Habitude de consommation alimentaire,manger mieux lentement
"Il faut mettre en place un étiquetage qui donne la qualité d'un produit et ses impacts sur la santé, l'emploi et l'environnement  ",2,Produits transformés,mettre place étiquetage donne qualité impact santé emploi environnement
Il faut apprendre à l'école car les parents ne sont pas toujours à la hauteur pour expliquer et non pas toujours les moyens financiers ,8,Alimentation des enfants,apprendre école parent hauteur expliquer moyen financier
Il faut manger bio,7,Circuit court,manger bio
"Il faut préserver le goût des aliments, condition essentielle de la diversité de l'alimentation et du plaisir qu'elle doit procurer",8,Alimentation des enfants,préserver goût aliment condition essentiel diversité alimentation plaisir devoir procurer
"Il faut écrire bio sur le bio, et contient des produits phytosanitaires sur le conventionnel",2,Produits transformés,écrire bio bio contenir phytosanitaire conventionnel
"Il faut acheter local, mais aussi de qualité, de préférence sans pesticides ou de culture raisonnée",7,Circuit court,acheter local qualité préférence pesticide culture raisonner
"Il faut acheter des produis frais (légumes, fruits) de saison et produits dans un périmètre de 180 km maximum",7,Circuit court,acheter produi frais légume fruit saison produire périmètre kilomètre maximum
"Il faut éviter les plats cuisinés, si on veut savoir d'ou viennent les produits",4,Habitude de consommation alimentaire,éviter plat cuisiner vouloir savoir venir
Il faut diminuer l'alimentation carnée dans les cantines scolaires,8,Alimentation des enfants,diminuer alimentation carner cantine scolaire
Il faut que la gestion de l'eau potable du robinet soit gérée par l'ensemble des collectivités territoriales de France,5,Gaspillage alimentaire,gestion eau potable robinet gérer ensemble collectivité territorial france
"Il faut manger des légumes frais: pomme de terre, haricot vert, salades",4,Habitude de consommation alimentaire,manger légume frais pomme terre haricot vert salades
"Il faut ouvrir l'agriculture aux semences paysannes et aux pratiques organiques (permaculture, paysan) pour revenir à une alimentation saine",1,Agriculture biologique,ouvrir agriculture semence paysan al pratique organique permaculture paysan revenir alimentation sain
Il faut introduire le sujet dans les programmes de l’éducation nationale,8,Alimentation des enfants,introduire programme léducation national
Il faut appliquer une taxe plastique aux produits emballé inutilement,9,Rémunération des agriculteurs,appliquer taxe plastique emballer inutilement
Il faut des produits pas trop cher issus des productions locales,7,Circuit court,issu production local
Il faut des produits locaux mais moins chers car il n'y a plus d'intermédiaires ,7,Circuit court,local intermédiaire
Il faut ne pas supprimer les marchés là où ils existent,0,Consommation Viande,supprimer marché exister
"Il faut manger équilibré, éviter le sel et le sucre",4,Habitude de consommation alimentaire,manger équilibré éviter sel sucre
Il faut revenir à moins de consommation de viande et moins de souffrance infligée au animaux ,0,Consommation Viande,revenir consommation viande souffrance infliger animal
Il faut plus de communication sur les bienfaits des fruits et légumes,3,Cultiver soi-même,communication bienfait fruit légume
Il faut enseigner les bases de la nutrition et de la diététique à l'école,8,Alimentation des enfants,enseigner base nutrition diététique école
Il faut encourager les français à cuisiner : plus de solutions prêtes à cuisiner en magasin,4,Habitude de consommation alimentaire,encourager français cuisiner solution prêter cuisiner magasin
Il faut mieux rémunérer les agriculteurs et que les grandes surfaces prennent moins de marge sur les produits ,7,Circuit court,mieux rémunérer agriculteur grand surface prendre marge
"Il faut identifier les aliments pour bétail importés avec des étiquettes OGM, pesticides et bilan carbone",2,Produits transformés,identifier aliment bétail importer étiquette ogm pesticide bilan carbon
Il faut interdire la vente des oeufs en batterie,0,Consommation Viande,interdire vente oeuf batterie
Il faut supprimer la TVA pour les fruits et les légumes,9,Rémunération des agriculteurs,supprimer tva fruit légume
"Il faut un retour aux anciens produits comme les topinambours, développer à nouveau la cueillette de pissenlits, mures, etc.",3,Cultiver soi-même,retour ancien topinambour développer nouveau cueillette pissenlit mure
Il faut apprendre à lire les étiquettes pour vérifier la provenance des produits et consommer local ou au moins français ,4,Habitude de consommation alimentaire,apprendre lire étiquette vérifier provenance consommer local français
Il faut arrêter de produire en trop grande quantité pour au final jeter,5,Gaspillage alimentaire,arrêter produire grand quantité final jeter
Il faut privilegier les petites enseignes spécialisées plutôt que des géants de la grande distribution et arrêter toutes les pubs télévisées,7,Circuit court,privilegier petit enseigne spécialisé géant grand distribution arrêter pub télévisé
Il faut bien faire la différence entre les deux types de date de péremption,5,Gaspillage alimentaire,différence type date péremption
Il faut supprimer les légumes et fruits vendus par des agriculteurs qui utilisent des pesticides ,7,Circuit court,supprimer légume fruit vendre agriculteur utiliser pesticide
Il faut privilégier les producteurs locaux ,7,Circuit court,privilégier producteur local
Il faut favoriser les produits conditionnés dans des emballages recyclables,6,Emballage alimentaire,favoriser conditionner emballage recyclable
"Il faut interdire les produits de l'agriculture intensive sur les marchés, et n'ouvrir ces marchés qu'à des producteurs locaux",7,Circuit court,interdire agriculture intensif marché ouvrir marché producteur local
Il faut favoriser la diversité alimentaire en remettant au goût du jour les recettes anciennes,3,Cultiver soi-même,favoriser diversité alimentaire remettre goût jour recette ancien
"Il faut imposer l'indication de l'origine des composants à plus de x% pour les produits alimentaires manufacturés (conserves, surgelés, ...)",2,Produits transformés,imposer indication origine composant alimentaire manufacturés conserve surgeler
Il faut pousser les magasins à développer le vrac et les grandes surfaces à inciter leurs fournisseurs à diminuer les emballages,6,Emballage alimentaire,pousser magasin développer vrac grand surface inciter fournisseur diminuer emballage
"Il faut valoriser l'alimentation à base de céréales, légumineuses, fruits et légumes plutôt que les plats carnés ",4,Habitude de consommation alimentaire,valoriser alimentation base céréale légumineuse fruit légume plat carné
Il faut limiter la viande dans les cantines à une fois par semaine ,0,Consommation Viande,limiter viande cantine semaine
Il faut baisser le prix de la nourriture en magasin,7,Circuit court,baisser prix nourriture magasin
"Il faut arrêter de faire venir des produits genre tomates, soja, maïs ou autres de Chine et du Brésil, la viande d'Argentine et des USA... ",0,Consommation Viande,arrêter venir tomate soja maïs chine brésil viande argentin usa
Il faut favoriser le circuit court par exemple en mentionnant clairement la distance producteur consommateur,7,Circuit court,favoriser circuit court exemple mentionner clairement distance producteur consommateur
Il faut supprimer la TVA sur les produits de première nécessité issus de circuits courts,9,Rémunération des agriculteurs,supprimer tva nécessité issu circuit court
Il faut proposer des potagers partagés dans les écoles pour remettre les jeunes en lien avec la terre et leur faire produire des légumes ,3,Cultiver soi-même,proposer potager partager école remettre jeune lien terre produire légume
Il faut éviter la viande de toute façon ce n'est pas recommandé pour la santé.,0,Consommation Viande,éviter viande recommander santé
Il faut augmenter le pouvoir d'achat,9,Rémunération des agriculteurs,augmenter achat
Il faut manger local,7,Circuit court,manger local
Il faut relancer les usines françaises qui donnent de la bonne qualité ,1,Agriculture biologique,relancer usine français donner qualité
Il faut arrêter de manger de la viande ..,0,Consommation Viande,arrêter manger viande
"Il faut baisser les prix du bio, le rendre accessible à tous!",9,Rémunération des agriculteurs,baisser prix bio rendre accessible
Il faut préférer les aliments bio aux aliments transformés.,9,Rémunération des agriculteurs,préférer aliment bio aliment transformer
"Il faut inciter fortement l'abattage à la ferme ou au plus proche en contrepartie de taxer fortement les produits des ""abattoirs usines""",0,Consommation Viande,inciter fortement abattage ferme contrepartie taxer fortement abattoir usine
"Il faut que les produits locaux soient abordables, et pas plus chers que ceux exportés. ",7,Circuit court,local abordable exporter
Il faut que le gouvernement aide le développement d'initiatives comme la Ruche Qui Dit Oui ! et les AMAP pour que tout le monde y ait accès,3,Cultiver soi-même,gouvernement aide développement initiative ruche oui amap monde accès
Il faut taxer les produits alimentaires en fonction du nombre de kilomètres parcourus,9,Rémunération des agriculteurs,taxer alimentaire fonction nombre kilomètre parcourir
"Il faut simplifier la lisibilité des informations sur les proportions d'additifs, de sucre, de sel, de matière grasse... sur les produits",2,Produits transformés,simplifier lisibilité information proportion additif sucre sel matière gras
"Il faut réduire l'empreinte carbone, énergétique de notre consommation: circuits courts, produits locaux et saisonniers...",7,Circuit court,réduire empreinte carbone énergétique consommation circuit court local saisonnier
"Il faut détaxer de TVA le bio, les légumes et fruits pour changer les habitudes de consommation",9,Rémunération des agriculteurs,détaxer tva bio légume fruit changer habitude consommation
"Il faut réduire sa consommation de calories ultra-transformées et animales, responsables de la dégradation de la santé et de l'environnement",0,Consommation Viande,réduire consommation calorie ultratransformée animal responsable dégradation santé environnement
Il faut surtaxer les commerçants qui importent à tout va les produits frais et bio d'Espagne pour les inciter à nous vendre du local ,7,Circuit court,surtaxer commerçant importer aller frais bio espagne inciter vendre local
Il faut développer une approche durable et non court-termiste pour l'ensemble des filières alimentaires (de l'agriculteur à l'industriel),1,Agriculture biologique,développer approche durable courttermist ensemble filière alimentaire agriculteur industriel
Il faut considérer les intolérances alimentaires de chacun,9,Rémunération des agriculteurs,considérer intolérance alimentaire
"Il faut alléger certains repas en protéines animales, ne pas les supprimer totalement, les enfant ont besoin de cet équilibre alimentaire",0,Consommation Viande,alléger repas protéine animal supprimer totalement enfant besoin équilibre alimentaire
"Il faut mettre en place des ateliers de sensibilisation au bien manger pour adultes, enfants ...",8,Alimentation des enfants,mettre place atelier sensibilisation manger adulte enfant
"Il faut que les grandes surfaces payent les agriculteurs à un prix raisonnable, pas à perte, car les prix qu'ils obtiennent ne suffisent pas",7,Circuit court,grand surface payer agriculteur prix raisonnable perte prix obtenir suffire
"Il faut manger de tout, pour une bonne hygiène de vie",8,Alimentation des enfants,manger hygiène vie
Il faut remettre des contrôles réguliers : arrêter les publicités mensongères,0,Consommation Viande,remettre contrôle régulier arrêter publicité mensonger
Il faut encourager les commerçants à réduire les prix des produits dont la date de péremptions approche ,5,Gaspillage alimentaire,encourager commerçant réduire prix date péremption approche
"Il faut utiliser des produits de la ferme, et faire confiance à la ferme ",3,Cultiver soi-même,utiliser ferme confiance ferme
Il faut une taxe à l'importation,9,Rémunération des agriculteurs,taxe importation
Il faut faciliter l'accès à la terre pour des paysans bio,7,Circuit court,faciliter accès terre paysan bio
"Il faut multiplier les jardins potagers en ville, y compris suspendus sur les terrasses et toits des immeubles neufs ! ",3,Cultiver soi-même,multiplier jardin potager ville suspendre terrasse toit immeuble
"Il faut réfléchir à une notion de démocratie alimentaire, ie sécurité sociale de l'alimentation et droit à l'alimentation durable",8,Alimentation des enfants,réfléchir notion démocratie alimentaire sécurité social alimentation droit alimentation durable
Il faut proposer des circuits courts,7,Circuit court,proposer circuit court
Il faut mettre à disposition des jardins collectifs,3,Cultiver soi-même,mettre disposition jardin collectif
Il faut apprendre aux enfants le jardinage en leur expliquant toutes les raisons,8,Alimentation des enfants,apprendre enfant jardinage expliquer raison
Il faut encourager les gens à jardiner eux-mêmes leurs légumes ,4,Habitude de consommation alimentaire,encourager jardiner euxmême légume
Il faut profiter de ce que notre région produit ,7,Circuit court,profiter région produire
Il faut moins d'emballages sous vide,6,Emballage alimentaire,emballager vide
"Il faut manger moins de protéine animale, adapter notre alimentation à nos besoins réels",4,Habitude de consommation alimentaire,manger protéine animal adapter alimentation besoin réel
Il faut une politique des filières et circuits alimentaires au niveau de chaque région (pour produire et consommer localement) ,7,Circuit court,politique filière circuit alimentaire niveau région produire consommer localement
"Il faut rendre accessibles les produits bio, locaux et de saison en les subventionnant",7,Circuit court,rendre accessible bio local saison subventionner
"Il faut connaître comment sont élevés les animaux que nous consommons et savoir comment sont produits les légumes : pesticides, engrais etc ",1,Agriculture biologique,connaître élevé animal consommer savoir produire légume pesticide
Il faut que les grandes surfaces redistribuent bien la valeur ajoutée de ces circuits courts aux vrais producteurs. ,7,Circuit court,grand surface redistribuer ajouter circuit courts vrai producteur
"Il faut développer les produits sans gluten et les produits Vegan, et que les supermarchés achètent moins de viande et de poisson",4,Habitude de consommation alimentaire,développer gluten supermarché acheter viande poisson
Il faut des cours de cuisine au collège/ lycée pour que les jeunes réalisent qu'il est simple et économique de manger des plats faits maison,8,Alimentation des enfants,cours cuisine collège lycé jeune réaliser simple économique manger plat maison
Il faut arrêter d'acheter en supermarchés,7,Circuit court,arrêter acheter supermarché
Il faut acheter directement aux producteurs afin de faire rebondir l'agriculture et afin de consommer un bon produit non modifié ,7,Circuit court,acheter directement producteur rebondir agriculture consommer modifier
"Il faut interdire tous les additifs ""probablement"" cancérigènes, ceux qui sont douteux et ceux qui ne servent que pour la couleur etc ",2,Produits transformés,interdire additif probablement cancérigèner douteux servir couleur
Il faut offrir des produits raisonnés tant pour les végétariens que les personnes qui mangent de la viande et du poisson,0,Consommation Viande,offrir raisonner végétarien manger viande poisson
"Il faut améliorer l'information sur les intrants dans les produits issus de l'agro-alimentaire, avec un outil type Nutriscore ",2,Produits transformés,améliorer information intrant issu agroalimentaire outil type nutriscor
Il faut arrêter la consommation de produits carnés et d'origine animale,0,Consommation Viande,arrêter consommation carné origine animal
Il faut manger autour d'une table tous ensemble et faire en sorte que ce soit un moment convivial,3,Cultiver soi-même,manger autour table ensemble sorte moment convivial
Il faut arrêter les huiles de palme,2,Produits transformés,arrêter huile palme
Il faut laisser les agriculteurs produire leurs propres semences,1,Agriculture biologique,laisser agriculteur produire propre semence
Il faut instaurer des cours de cuisine à l'école et au collège pour inculquer à tous les principes d'une alimentation saine et durable,8,Alimentation des enfants,instaurer cours cuisine école collège inculquer principe alimentation sain durable
Il faut arrêter d'acheter les fruits et légumes provenant de pays ne respectant pas l'environnement ,7,Circuit court,arrêter acheter fruit légume provenir pays respecter environnement
Il faut obliger les industriels a diminuer leurs packagings,2,Produits transformés,obliger industriel diminuer packaging
"Il faut un prix juste du producteur au consommateur, la grande distribution n'est que l'intermédiaire. Il doivent ainsi limiter le profit",7,Circuit court,prix producteur consommateur grand distribution intermédiaire devoir limiter profit
"Il faut arrêter de subventionner l'agriculture conventionnelle productiviste, néfaste pour l'environnement et la santé humaine",1,Agriculture biologique,arrêter subventionner agriculture conventionnel productiviste néfaste environnement santé humain
Il faut consommer local ,7,Circuit court,consommer local
Il faut mettre en place des potagers bio dans les écoles pour éduquer les enfants à la qualité alimentaire,8,Alimentation des enfants,mettre place potager bio école éduquer enfant qualité alimentaire
Il faut proposer des produits locaux et travailler avec des producteurs de son pays,7,Circuit court,proposer local travailler producteur pays
"Il faut apprendre à faire un budget : supprimer les produits transformés pour des produits locaux, bio. Pas plus cher si on change de modèle",4,Habitude de consommation alimentaire,apprendre budget supprimer transformer local bio changer modèle
"Il faut informer les gens des produits de saison ou non, car une bonne partie n'en sait rien",7,Circuit court,informer saison partie savoir
Il faut changer sa manière de s'alimenter : privilégier les légumineuses bio peu chères et de la bonne viande une fois de temps en temps,4,Habitude de consommation alimentaire,changer manière alimenter privilégier légumineuse bio viande temps temps
Il faut manger plus local (donc de saison) en renforçant le lien producteur consommateur pour avoir plus de produits en raisonnés et bio,7,Circuit court,manger local saison renforcer lien producteur consommateur raisonné bio
Il faut mettre en avant les fruits et légumes de saison dans les supermarchés ,7,Circuit court,mettre fruit légume saison supermarché
Il faut que les parents cuisinent avec les enfants pour leur donner de bonnes habitudes alimentaires,8,Alimentation des enfants,parent cuisiner enfant donner habitude alimentaire
Il faut interdire tous les produits dangereux pour la santé des consommateurs,2,Produits transformés,interdire dangereux santé consommateur
Il faut punir par la loi les recyclages non effectués de la bonne manière ,9,Rémunération des agriculteurs,punir loi recyclage effectuer manière
"Il faut proposer des contenants de petite quantité car lorsqu'on est seule il est parfois difficile de ne pas gaspiller, dommage...",4,Habitude de consommation alimentaire,proposer contenant petit quantité seul parfois difficile gaspiller dommage
Il faut diminuer l'offre en produits transformés dans les supermarchés,7,Circuit court,diminuer offre transformer supermarché
Il faut diffuser des graphismes clairs expliquant comment bien manger simplement,4,Habitude de consommation alimentaire,diffuser graphisme clair expliquer manger simplement
Il faut des légumes et des fruits locaux et aussi de la viande ,4,Habitude de consommation alimentaire,légume fruit local viande
Il faut acheter local et bio si possible ,7,Circuit court,acheter local bio possible
Il faut former les jeunes à la qualité nutritionnelle au sens large de la nourriture et des variantes liées au plaisir,8,Alimentation des enfants,former jeune qualité nutritionnel sens large nourriture variante lier plaisir
"Il faut mettre des fruits, surtout au printemps et en été, non frigorifiés et cueillis à point afin d'avoir des produits de qualité",9,Rémunération des agriculteurs,mettre fruit printemps frigorifier cueillis point qualité
"Il faut apprendre les aliments, beaucoup de gens ne connaissent pas les légumes par exemple",4,Habitude de consommation alimentaire,apprendre aliment connaître légume exemple
"Il faut remplacer une partie des plantes des parcs municipaux par des plantes comestibles, pour alimenter les personnes dans le besoin ",3,Cultiver soi-même,remplacer partie plante parc municipal plante comestibler alimenter besoin
Il faut proposer un jour sans viande ou poisson par semaine,4,Habitude de consommation alimentaire,proposer jour viande poisson semaine
Il faut que les consommateurs soient avertis des effets nocifs pour leurs enfants des colorants contenus dans les bonbons,2,Produits transformés,consommateur avertir nocif enfant colorant contenir bonbon
Il faut privilégier les circuits courts : ne plus passer par les centrales d'achats et les supermarchés,7,Circuit court,privilégier circuit court passer centrale achat supermarché
Il faut mettre en place un symbole visible et distinctif pour différencier les produits ayant un impact néfaste pour l'environnement,9,Rémunération des agriculteurs,mettre place symbole visible distinctif différencier impact néfaste environnement
Il faut valoriser tous les modes d’alimentation quels qu’ils soient.,0,Consommation Viande,valoriser mode dalimentation quil
Il faut du porc une fois par semaine,0,Consommation Viande,porc semaine
Il faut absolument prendre des décisions en ne tenant compte que des conclusions et avis des agences scientifiques officielles,0,Consommation Viande,absolument prendre décision tenir compte conclusion avis agence scientifique officiel
Il faut démocratiser le bio encore bien trop cher,7,Circuit court,démocratiser bio
"Il faut que le bio, le vrac et le local soient moins taxés que la mal bouffe ou tout ce qui peut provoquer un désordre écologique",9,Rémunération des agriculteurs,bio vrac local taxer mal bouffe provoquer désordre écologique
Il faut plus de produits locaux,7,Circuit court,local
Il faut ne plus importer de produits alimentaires et acheter français,7,Circuit court,importer alimentaire acheter français
"Il faut DLC et DLU MINIMUM revendu à 50% minimum, et non 20% ou 30% (personne ne veut un produit en fin de vie à seulement 20% de réduction)",5,Gaspillage alimentaire,dlu minimum revendre minimum vouloir fin vie réduction
Il faut remplacer les protéines animales par des protéines végétales (légumineuses),0,Consommation Viande,remplacer protéine animal protéine végétal légumineuse
Il faut développer la culture bio locale,7,Circuit court,développer culture bio local
Il faut boycotter les marques qui ne respectent pas des normes de sécurité alimentaire acceptables ,1,Agriculture biologique,boycotter marque respecter norme sécurité alimentaire acceptable
Il faut privilegier les produits locaux et circuit court ,7,Circuit court,privilegier local circuit court
Il faut donner des aides a l'installation d'agriculteurs bio,1,Agriculture biologique,donner aide installation agriculteur bio
Il faut supprimer la TVA des produits équitables (et sains) qui font vivre les agriculteurs,7,Circuit court,supprimer tva équitable sain vivre agriculteur
Il faut proposer des recettes simples,4,Habitude de consommation alimentaire,proposer recette simple
Il faut manger de la viande dont les animaux auront été élevés dans les champs et tués sans souffrance,0,Consommation Viande,manger viande animal élever champ tuer souffrance
Il faut interdire les abattoirs rituels,0,Consommation Viande,interdire abattoir rituel
Il faut produire localement au lieu d’importer (ex : champignons de Paris en provenance de Hollande),5,Gaspillage alimentaire,produire localement lieu dimporter champignons paris provenance hollande
